58|粘住，为什么我们记住了这些，忘记了那些|文学小说|?|待安排|待评判
59|月亮与六便士|文学小说|?|待安排|待评判
60|美丽新世界|文学小说|?|待安排|待评判
61|黑天鹅|经济学|？|待安排|待评判
62|枪炮，病菌与钢铁|人文历史|？|待安排|待评判
63|人性的枷锁|心理学|?|待安排|待评判
64|孤独是你的必修课|生活哲学|?|待安排|待评判
65|未来不迎，过往不恋|生活哲学|?|待安排|待评判
66|岛上书店|文学小说|书店店主AJK，因“意外”失书，收养一个小孩玛雅，在接触中走出孤岛，同时与同样爱读书的艾米相爱，岛上书店，普普通通，却给岛上的民众巨大的影响，书店的力量由此可见。|已完成|可选
67|生活是很好玩的|文学小说|?|待安排|待评判
68|皮囊|文学小说|?|待安排|待评判
69|自在独行|文学小说|?|待安排|待评判
70|行为心理学|心理学|?|待安排|待评判
71|象与骑象人：关于幸福的假设|生活哲学|?|待安排|待评判
72|我想吃掉你的胰脏|青春文学|患有胰脏病的山内樱良与沉溺于小说世界的志贺春树的相遇相识，用生命诠释意义，相互改变的温馨致郁故事。|已完成|可选
73|你当像鸟飞往你的山|生活哲学|不知道|待安排|待评估
74|当我谈跑步时，我谈些什么|文学|村上春树，一个非职业跑者，能坚持跑步三十多年，从未间断，以一贯的笔调，于长跑中记录生活，写出长跑不一样的禅意。|待安排|待评估
75|牛奶可乐经济2|经济学科普|生活中常见现象的经济学原理|待安排|待评判
76|拉普拉斯的魔女|悬疑推理|基于拉普拉斯妖的猜想的悬疑推理故事。|已完成|否
77|幸福之路|生活哲学|罗素先生对幸福的理解。|进行中|待评估
78|人间温柔|文学小说|文艺风，柔和简单的生活碎片。|待安排|待评估
79|萤火虫小巷|文学小说|萤火虫小巷，塔莉和凯蒂，三十多年的友谊，一直的陪伴。一部描写友谊以及人生的史诗巨作。|已完成|是
80|萤火虫之夏|文学小说|一家四姐妹日常及周末聚会的平淡生活文学小说，节奏较慢，情节接近生活，笔风较温和。|已完成|否
